Rating;Employee Status;Review Title;Date;Pros;Cons;Num People Helpful
5.0;Current Employee;Review;Apr 26, 2022 - Anonymous Employee;Learning new content. Extremely detailed training. Very relaxed atmosphere.;Amount of initial information can be overwhelming at first.;0
1.0;Current Employee, less than 1 year;horrible;Apr 25, 2022 - Account Executive;do not work here. please find another job.;worst place to work. should not join.;5
5.0;Former Employee, more than 1 year;-;Mar 15, 2022 - Anonymous Employee;Innovative and strong ecosystem within teams;Great experience and not a lot of issues;0
4.0;Current Employee, less than 1 year;Recruiter;Mar 7, 2022 - Recruiter;Work culture is very good;UNREASONABLE TARGETS , deadlines are crazy;0
4.0;Current Employee, more than 1 year;Great Place to Work;Mar 2, 2022 - Senior Software Engineer;- Huge growth opportunities to tech leadership/management positions- Robust approaches to software development;- Startups environment: a lot of things change quickly.- Could get busy with on-calls.;0
5.0;Current Employee;Good place;Feb 24, 2022 - Sales;I like the people and environment;Sometimes expectations aren't clearly set;0
1.0;Former Employee, less than 1 year;Avoid at all costs;Mar 23, 2022 - Anonymous Employee;Remote work + Monthly Healthcare stipendthat's it.;Too many to name.0 work life balanceOutlandish goals set by management0 support from HQ and all decision makersJoining Revolut is more like getting aboard the carnival ride, far from a rocket ship.;8
2.0;Former Employee, less than 1 year;worse management;Feb 20, 2022 - Customer Support;Welcoming session Good environmentGood training;Too much pressureTeam managers are not availableworse management and HRWorse collaborationScattered resources to follow and not in one place;7
1.0;Former Employee, less than 1 year;misunderstanding of the market;Mar 8, 2022 - Remote Sales Representative;remote work, offers health insurance day 1;does not understand the market in the U.S. The commission rate is perhaps the worst in the industry, the company seems to still be trying to figure out why the U.S. Does not convert as regularly to other currency. The strategic plan is non-existent. Along with this they spy on employees.;7
1.0;Current Employee, less than 1 year;Don't Believe What They Tell You;Jan 31, 2022 - Growth;- Competitive comp - Flat org provides a lot of experience for junior team members- The FinTech space is booming;- No job security or work/life balance - No company culture due to high turnover - Management doesn't value people- Blatant bias when it comes to diversity;38
5.0;Current Employee;Review;Apr 26, 2022 - Anonymous Employee;Learning new content. Extremely detailed training. Very relaxed atmosphere.;Amount of initial information can be overwhelming at first.;0
1.0;Current Employee, less than 1 year;Don't Believe What They Tell You;Jan 31, 2022 - Growth;- Competitive comp - Flat org provides a lot of experience for junior team members- The FinTech space is booming;- No job security or work/life balance - No company culture due to high turnover - Management doesn't value people- Blatant bias when it comes to diversity;37
1.0;Former Employee, less than 1 year;misunderstanding of the market;Mar 8, 2022 - Remote Sales Representative;remote work, offers health insurance day 1;does not understand the market in the U.S. The commission rate is perhaps the worst in the industry, the company seems to still be trying to figure out why the U.S. Does not convert as regularly to other currency. The strategic plan is non-existent. Along with this they spy on employees.;7
1.0;Current Employee, less than 1 year;horrible;Apr 25, 2022 - Account Executive;do not work here. please find another job.;worst place to work. should not join.;5
5.0;Former Employee, more than 1 year;-;Mar 15, 2022 - Anonymous Employee;Innovative and strong ecosystem within teams;Great experience and not a lot of issues;0
4.0;Current Employee, more than 1 year;Great Place to Work;Mar 2, 2022 - Senior Software Engineer;- Huge growth opportunities to tech leadership/management positions- Robust approaches to software development;- Startups environment: a lot of things change quickly.- Could get busy with on-calls.;0
4.0;Current Employee, less than 1 year;Recruiter;Mar 7, 2022 - Recruiter;Work culture is very good;UNREASONABLE TARGETS , deadlines are crazy;0
1.0;Former Employee, less than 1 year;Avoid at all costs;Mar 23, 2022 - Anonymous Employee;Remote work + Monthly Healthcare stipendthat's it.;Too many to name.0 work life balanceOutlandish goals set by management0 support from HQ and all decision makersJoining Revolut is more like getting aboard the carnival ride, far from a rocket ship.;8
5.0;Current Employee;Good place;Feb 24, 2022 - Sales;I like the people and environment;Sometimes expectations aren't clearly set;0
2.0;Former Employee, more than 1 year;Terrible Ideologies;Mar 2, 2021 - Senior Recruiter;-Worked with smart and passionate people, a bunch of GO GET EMS & DOERS!-Had really reliable team members, everyone was easy to collaborate with.-Recruiting teams were able to get tools or whatever they needed without a huge budget restriction.;-The executive leadership team at HQ are deep into the weeds with recruiting and building culture and they shouldn't be because they are really bad at it. -This company doesn't give an autonomy and accountability to the people they hire.-One of the leadership team members admitted that he doesn't like to hire women for leadership roles because they are wired differently. It's ironic because without any woman in the leadership team, they seem to lack a whole lot of emotional intelligence, which in studies it is proven that women have this edge over men. -What boggles my mind is that this executive has been blatantly misogynistic since he's been hired and hasn't suffered any repercussions from the things he says (to women on Slack), in fact, he's been promoted!;80
5.0;Current Employee, less than 1 year;Smooth as;Jan 11, 2022 - Copywriter;Company with rhythm well up to date. Smooth onboarding, bonuses, flexibility, motivating and challenging environment;Have not found any yet.;0
1.0;Current Employee, more than 1 year;Horrible company culture;Jan 22, 2022 - Business Operations Manager;- Lots of opportunities to grow and move to Europe, if interested;- Tough culture makes the working environment very unpleasant- Leadership has no management experience and acts irrationally- Leadership has no knowledge of the US Financial Service ecosystem - I wouldn't be surprised if Revolut ends up withdrawing from the US;12
5.0;Current Employee;Fast paced growing Fintech;Dec 21, 2021 - Anonymous Employee;True Fintech...operates like a software company - agile, great technology, good people;Everything is driven by HQ, lots of turnover;0
4.0;Former Employee, more than 1 year;Work as business analyst;Nov 14, 2021 - Business Analyst;Good salary, Good schedule, Work-life balance;Bad HR, Paid late salaries;1
5.0;Former Employee;great company and culture;Nov 3, 2021 - Anonymous Employee;lots of opportunities to grow;management seems to lack experience;1
5.0;Current Employee;good company;Oct 27, 2021 - Recruiter;Great team, Good company, New;kpis are mess, no clear arrangments in terms of salary;0
5.0;Current Employee, less than 1 year;Amazing work experience in a fast growing company;Oct 14, 2021 - Enterprise Risk Manager;A fast paced work environment that fosters both personal and professional growth as well as exposure to some of the industries most accomplished individuals.;none have been identified at this time.;0
4.0;Current Employee, less than 1 year;Great benefits;Oct 11, 2021 - Sales Representative;22 days of PTO and generous amounts of money that you can allocate to benefits on a monthly basis. This is a European company that takes employee wellness seriously.;They're just starting out in the USA, so sales may take some time before becoming a significant part of salary.;1
5.0;Former Employee;Great company;Sep 11, 2021 - Anonymous Employee;Interesting area to work in;Everything was abs perfect during my time.;0
5.0;Current Employee, less than 1 year;Very good;Aug 4, 2021 - Anonymous Employee;carrier progressionmanagerworking cultureteam members company partiescompany rewards;sometimes to much work if you want to meet all your KPI's but its in general manageable;1
